
[  2.41375 264.37308 384.82155   5.74975 218.8906  248.77728]
[-15.44559  -9.98044  99.27425  -5.50367  57.09355  -2.196  ]
[ -2.5013  -75.15694  -1.18039  -0.92014   7.14542  -2.42256]
[  1.56085 -88.99194 -32.71839  -0.04053  -7.7994   -2.36853]
[  2.27696 -89.64662 -41.76288   0.12819 -12.2971   -2.32169]
[  2.01633 -86.3552  -43.25019   0.14341 -13.37779  -2.27674]
[  1.57633 -81.88847 -42.21076   0.12857 -13.3155   -2.23246]
[  1.18554 -77.15698 -40.36406   0.11422 -12.87812  -2.18859]
[  0.88782 -72.46832 -38.30033   0.10724 -12.32852  -2.14509]
[  0.67414 -67.92555 -36.22193   0.10804 -11.75696  -2.10201]
[  0.5249  -63.56082 -34.1973    0.11544 -11.1943   -2.05938]
[  0.42201 -59.38129 -32.24844   0.12814 -10.6508   -2.01726]
[  0.35148 -55.38505 -30.38106   0.14501 -10.12955  -1.97566]
[  0.30315 -51.56691 -28.59513   0.16519  -9.63111  -1.93464]
[  0.26986 -47.92046 -26.88857   0.18801  -9.15513  -1.89419]
[  0.24661 -44.43891 -25.25862   0.21297  -8.70094  -1.85436]
[  0.22992 -41.11542 -23.70229   0.23966  -8.26779  -1.81514]
[  0.21741 -37.94331 -22.21658   0.26779  -7.85487  -1.77655]
[  0.20743 -34.91607 -20.79857   0.29709  -7.4614   -1.7386 ]
[  0.19883 -32.02746 -19.44543   0.32736  -7.08661  -1.70129]
[  0.19084 -29.27148 -18.15444   0.35841  -6.72975  -1.66463]
[  0.18292 -26.64238 -16.92301   0.3901   -6.39011  -1.62861]
[  0.1747  -24.13469 -15.74864   0.42228  -6.06701  -1.59324]
[  0.16595 -21.74316 -14.62896   0.45483  -5.75977  -1.55852]
[  0.15652 -19.46281 -13.56172   0.48764  -5.46775  -1.52444]
[  0.14631 -17.28885 -12.54473   0.52063  -5.19036  -1.491  ]
[  0.13527 -15.21674 -11.57593   0.55368  -4.927    -1.4582 ]
[  0.12338 -13.24212 -10.65334   0.58673  -4.6771   -1.42603]
[  0.11064 -11.36082  -9.77506   0.6197   -4.44011  -1.39448]
[ 0.09707 -9.56889 -8.93928  0.65251 -4.21552 -1.36354]
[ 0.08271 -7.86251 -8.14426  0.68512 -4.00281 -1.33322]
[ 0.06758 -6.23804 -7.38832  0.71745 -3.8015  -1.3035 ]
[ 0.05174 -4.69201 -6.66986  0.74946 -3.61112 -1.27437]
[ 0.03523 -3.22107 -5.98734  0.7811  -3.4312  -1.24583]
[ 0.0181  -1.82203 -5.33929  0.81233 -3.26132 -1.21786]
[ 0.00041 -0.49183 -4.72427  0.8431  -3.10104 -1.19047]
[-0.01779  0.77247 -4.14093  0.87338 -2.94996 -1.16363]
[-0.03645  1.97368 -3.58795  0.90315 -2.80768 -1.13734]
[-0.05552  3.1145  -3.06405  0.93236 -2.67382 -1.11159]
[-0.07495  4.19752 -2.56803  0.961   -2.54801 -1.08638]
[-0.09467  5.22523 -2.09871  0.98903 -2.42989 -1.06169]
[-0.11466  6.2     -1.65495  1.01645 -2.31912 -1.03751]
[-0.13485  7.12412 -1.23568  1.04322 -2.21536 -1.01384]
[-0.15521  7.99979 -0.83984  1.06934 -2.1183  -0.99066]
[-0.17568  8.82911 -0.46643  1.09479 -2.02762 -0.96797]
[-0.19623  9.61411 -0.11447  1.11955 -1.94303 -0.94575]
[-0.21682 10.35671  0.21697  1.14362 -1.86424 -0.92401]
[-0.2374  11.05879  0.52879  1.16698 -1.79097 -0.90272]
[-0.25795 11.72213  0.82187  1.18963 -1.72295 -0.88188]
[-0.27842 12.34844  1.09703  1.21156 -1.65992 -0.86148]
[-0.29879 12.93937  1.35507  1.23277 -1.60163 -0.84152]
[-0.31902 13.49649  1.59679  1.25325 -1.54786 -0.82198]
[-0.33909 14.02133  1.82291  1.273   -1.49835 -0.80285]
[-0.35897 14.51534  2.03415  1.29202 -1.4529  -0.78413]
[-0.37862 14.97991  2.23121  1.31031 -1.4113  -0.76582]
[-0.39804 15.41639  2.41474  1.32787 -1.37333 -0.74789]
[-0.4172  15.82604  2.58539  1.3447  -1.3388  -0.73035]
[-0.43607 16.21012  2.74377  1.36081 -1.30752 -0.71318]
[-0.45464 16.56979  2.89046  1.3762  -1.27931 -0.69638]
[-0.4729  16.9062   3.02604  1.39087 -1.25401 -0.67994]
[-0.49082 17.22042  3.15105  1.40483 -1.23143 -0.66385]
[-0.50839 17.51351  3.266    1.4181  -1.21143 -0.64812]
[-0.52559 17.78646  3.3714   1.43066 -1.19385 -0.63271]
[-0.54243 18.04023  3.46774  1.44254 -1.17855 -0.61765]
[-0.55888 18.27573  3.55547  1.45373 -1.16538 -0.6029 ]
[-0.57493 18.49385  3.63504  1.46426 -1.15422 -0.58848]
[-0.59058 18.69543  3.70686  1.47413 -1.14494 -0.57436]
[-0.60583 18.88127  3.77136  1.48334 -1.13741 -0.56056]
[-0.62065 19.05216  3.82892  1.49191 -1.13153 -0.54705]
[-0.63506 19.20883  3.8799   1.49986 -1.12717 -0.53383]
[-0.64904 19.35198  3.92468  1.50718 -1.12425 -0.5209 ]
[-0.66259 19.48231  3.9636   1.5139  -1.12265 -0.50826]
[-0.67571 19.60046  3.99697  1.52002 -1.12228 -0.49588]
[-0.6884  19.70706  4.02512  1.52556 -1.12306 -0.48378]
[-0.70065 19.80269  4.04835  1.53053 -1.12489 -0.47194]
[-0.71246 19.88792  4.06693  1.53494 -1.1277  -0.46036]
